method,center,patients,macro_f1,ez_f1,balanced_accuracy
base,hup,36,0.6297744065918568,0.40869250311669314,0.6760606676863296
base,lzu,21,0.5568210021026111,0.4117874706872918,0.5776799137780346
base,multicenter,15,0.5830385747602651,0.34322975266898886,0.6428250072511353
base,pediatric,8,0.5605490792677265,0.28595611325453835,0.5871533470847544
bcr,hup,36,0.6362933803988191,0.4259859732401099,0.6901135792438936
bcr,lzu,21,0.5624294038847975,0.41687204129929256,0.5895499312788948
bcr,multicenter,15,0.6143393448734547,0.4050609722071465,0.6878450567183357
bcr,pediatric,8,0.5938009746326685,0.3482837594458531,0.6206211229068435
cdel,hup,36,0.6510852440523667,0.4303524814031558,0.6885396424756145
cdel,lzu,21,0.5298156360413082,0.34105503192736786,0.5690394840480036
cdel,multicenter,15,0.637411974346881,0.43320564759034685,0.7203788796731231
cdel,pediatric,8,0.5127356430402278,0.19063086303939963,0.5491060826096107
full,hup,36,0.6324950928102269,0.4044312929197156,0.6702794727189992
full,lzu,21,0.5405259464814508,0.3752836917843887,0.5667181601585185
full,multicenter,15,0.5721022415591549,0.31905411630350805,0.6368802785803427
full,pediatric,8,0.5971675667148107,0.32992377144302154,0.6247841626206109
prq,hup,36,0.6316809356575521,0.4104050529197774,0.6674315441351366
prq,lzu,21,0.5354608812573554,0.3606698511269219,0.5706216247460446
prq,multicenter,15,0.6189102574601276,0.41121701546003936,0.7048477181598014
prq,pediatric,8,0.5148796616436735,0.2141468312869594,0.5532519268582063
