metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class,success_label,failure_label,threshold,threshold_source,inner_cv_used
success_auprc,0.6535947712418301,0.3333333333333333,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_auprc,0.8911764705882355,0.7133333333333334,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
auroc,0.6911764705882353,0.33333333333333337,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
macro_f1,0.27170868347338933,0.16666666666666666,0.375,17,3,1,0,0.5,fixed_predefined_0_5,False
weighted_f1,0.2330532212885154,0.06666666666666667,0.45,17,3,1,0,0.5,fixed_predefined_0_5,False
balanced_accuracy,0.5,0.5,0.5,17,3,1,0,0.5,fixed_predefined_0_5,False
accuracy,0.388235294117647,0.2,0.6,17,3,1,0,0.5,fixed_predefined_0_5,False
success_precision,0.388235294117647,0.2,0.6,17,3,1,0,0.5,fixed_predefined_0_5,False
success_recall,1.0,1.0,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_precision,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_recall,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
specificity_for_failure,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
brier,0.25497431874052306,0.2325155888401733,0.2756105676401019,17,3,1,0,0.5,fixed_predefined_0_5,False
ece,0.18163379150278428,0.05292456865310664,0.34473361730575564,17,3,1,0,0.5,fixed_predefined_0_5,False
