metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class,success_label,failure_label,threshold,threshold_source,inner_cv_used
success_auprc,0.7049019607843138,0.2833333333333333,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_auprc,0.7938725490196078,0.44999999999999996,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
auroc,0.6127450980392156,0.2833333333333333,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
macro_f1,0.27170868347338933,0.16666666666666666,0.375,17,3,1,0,0.5,fixed_predefined_0_5,False
weighted_f1,0.2330532212885154,0.06666666666666667,0.45,17,3,1,0,0.5,fixed_predefined_0_5,False
balanced_accuracy,0.5,0.5,0.5,17,3,1,0,0.5,fixed_predefined_0_5,False
accuracy,0.388235294117647,0.2,0.6,17,3,1,0,0.5,fixed_predefined_0_5,False
success_precision,0.388235294117647,0.2,0.6,17,3,1,0,0.5,fixed_predefined_0_5,False
success_recall,1.0,1.0,1.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_precision,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
failure_recall,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
specificity_for_failure,0.0,0.0,0.0,17,3,1,0,0.5,fixed_predefined_0_5,False
brier,0.275773931355858,0.23863217004037024,0.30845635402760196,17,3,1,0,0.5,fixed_predefined_0_5,False
ece,0.2033603983766892,0.011915488243103001,0.3855207681655884,17,3,1,0,0.5,fixed_predefined_0_5,False
