metric,mean,ci_low,ci_high,valid_repeats,skipped_single_class
accuracy,0.8183333333333335,0.5,1.0,100,0
balanced_accuracy,0.8148333333333332,0.5,1.0,100,0
macro_f1,0.7716439393939395,0.365,1.0,100,0
weighted_f1,0.8003801106301105,0.3921428571428571,1.0,100,0
auroc,0.6296666666666667,0.0,1.0,100,0
success_auprc,0.8113333333333334,0.16666666666666666,1.0,100,0
failure_auprc,0.700361111111111,0.32895833333333335,1.0,100,0
success_precision,0.88,0.0,1.0,100,0
success_recall,0.6296666666666667,0.0,1.0,100,0
failure_precision,0.7448333333333333,0.3333333333333333,1.0,100,0
failure_recall,1.0,1.0,1.0,100,0
brier,0.214245793350831,0.04334397141138508,0.47366210945861953,100,0
ece,0.3184855069767662,0.10930419965523194,0.5473200026436102,100,0
