config,fold_idx,center,n_patients,mean_ez_channel_count,mean_valid_channel_count,mean_ez_fraction,patient_macro_f1,patient_macro_ez_f1,patient_macro_auprc_ez,patient_macro_ez_mrr,top1_is_ez_rate
A9v8_stage1c_anchor_a010_b000_mrr,1,hup,9,,,,0.7018914812574322,0.5610049150816444,0.5682324570081396,0.7160493827160495,0.5555555555555556
A9v8_stage1c_anchor_a010_b000_mrr,1,lzu,5,,,,0.5852675612852807,0.5166908793820558,0.5439175107909928,0.9,0.8
A9v8_stage1c_anchor_a010_b000_mrr,1,multicenter,2,,,,0.4902768799827623,0.0833333333333333,0.18569848296128888,0.29166666666666663,0.0
A9v8_stage1c_anchor_a010_b000_mrr,1,pediatric,2,,,,0.6111421130952381,0.4166666666666667,0.5444672939540736,0.5119047619047619,0.5
A9v8_stage1c_anchor_a010_b000_mrr,2,hup,7,,,,0.6518962131872865,0.3911116661116661,0.4210842561155856,0.8214285714285714,0.7142857142857143
A9v8_stage1c_anchor_a010_b000_mrr,2,lzu,4,,,,0.5323398712246457,0.4274394366661719,0.5055407201332145,0.8333333333333333,0.75
A9v8_stage1c_anchor_a010_b000_mrr,2,multicenter,7,,,,0.6745689902013087,0.41666666666666663,0.43610095527327264,0.5327731092436975,0.2857142857142857
A9v8_stage1c_anchor_a010_b000_mrr,3,hup,11,,,,0.6810216299479076,0.4624453840780936,0.5303159714979601,0.7151515151515151,0.6363636363636364
A9v8_stage1c_anchor_a010_b000_mrr,3,lzu,3,,,,0.5468901727189682,0.37874097007223945,0.4064594158645058,0.8333333333333334,0.6666666666666666
A9v8_stage1c_anchor_a010_b000_mrr,3,multicenter,2,,,,0.7752066823280601,0.6895604395604396,0.7679778285772612,1.0,1.0
A9v8_stage1c_anchor_a010_b000_mrr,3,pediatric,2,,,,0.536053587413069,0.2553191489361702,0.3490836089486115,0.525,0.5
A9v8_stage1c_anchor_a010_b000_mrr,4,hup,2,,,,0.7330787633419212,0.5710526315789474,0.5907702747981886,0.75,0.5
A9v8_stage1c_anchor_a010_b000_mrr,4,lzu,10,,,,0.5626088219785157,0.45432018644405103,0.4757104633931769,0.5693589743589744,0.4
