variant,outer_fold,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_accuracy,patient_balanced_accuracy,n_channels,k
A12-V2,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V2,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V3,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V3,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V4,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V4,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V6,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V6,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V7,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V7,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V8,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V8,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V9,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V9,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V10,1,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
A12-V10,2,0.6666666666666667,0.5,0.8333333333333334,0.75,0.6666666666666667,8.0,2.0
