outer_fold,patient_macro_f1,patient_ez_f1,patient_nez_f1,patient_balanced_accuracy,patient_ez_auprc,patient_ez_auroc,patient_ez_mrr,top1_is_ez_rate,predicted_ez_count_mae,predicted_ez_fraction_mae,truek_patient_macro_f1,n_patients,n_channels,true_ez_fraction,predicted_ez_fraction,valid_ez_auprc_patients,valid_ez_auroc_patients,experiment,analysis_status
1,0.5940891536552663,0.39937583367986074,0.7888024736306717,0.6737820834124252,0.4858765347455519,0.7250956871966573,0.6255952380952381,0.4375,17.25,0.1786884816358187,0.6108383573850075,16,1631,0.2305334150827713,0.24524831391784183,16,16,A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.644098050803336,0.4116170366635049,0.8765790649431672,0.6848807451631379,0.4557983666411749,0.753989883143745,0.6434886759581881,0.5,10.0,0.0916403277632648,0.6424864538962985,16,1498,0.157543391188251,0.205607476635514,16,16,A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.5998167753563715,0.3459258150690219,0.8537077356437209,0.6269604746286602,0.47794815121273215,0.7613618607426593,0.5845588235294118,0.4117647058823529,14.176470588235293,0.13530037695084346,0.6544833277117746,17,1746,0.2124856815578465,0.15005727376861397,17,17,A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.6130255748547905,0.45629127974478434,0.7697598699647964,0.6207066725286795,0.5338423605379566,0.6823540954608679,0.7035294117647058,0.6,9.466666666666667,0.1079481684924917,0.6157019107130856,15,1425,0.28912280701754384,0.2750877192982456,15,15,A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6605196653997344,0.5127007822272608,0.8083385485722079,0.7075216507406409,0.6199309064116658,0.756765630130472,0.8236979166666667,0.75,10.9375,0.12816404907341647,0.6802214679769285,16,1335,0.2606741573033708,0.300374531835206,16,16,A1_P0_CURRENT_P2,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
1,0.594415194492013,0.3977678276283735,0.7910625613556523,0.6729717276996598,0.48357338427391283,0.7248221560216318,0.6276785714285714,0.4375,17.0625,0.17720149648055378,0.6134732526779128,16,1631,0.2305334150827713,0.23973022685469036,16,16,A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
2,0.6500487571712379,0.4170765411465644,0.8830209731959113,0.6798461334522505,0.467839646953856,0.7577775351789944,0.7161077235772357,0.625,8.875,0.08183135764153478,0.6447564443744823,16,1498,0.157543391188251,0.1882510013351135,16,16,A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
3,0.6136282354625638,0.36775816641176545,0.859498304513362,0.639406913473745,0.491857366054089,0.7737187425093397,0.5704979360165119,0.35294117647058826,14.117647058823529,0.13446089185676585,0.6609575074698149,17,1746,0.2124856815578465,0.14948453608247422,17,17,A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
4,0.6156242857197968,0.4557557833454237,0.7754927880941699,0.6215824269936789,0.534001226904298,0.6883519796416364,0.6896938775510204,0.6,10.2,0.11557539453716663,0.6243492807338147,15,1425,0.28912280701754384,0.2617543859649123,15,15,A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
5,0.6687286654111995,0.518862270171209,0.81859506065119,0.7114213696194946,0.6312412341378033,0.754728750037641,0.8466145833333334,0.8125,10.4375,0.12093794856249568,0.6980116884747336,16,1335,0.2606741573033708,0.28389513108614234,16,16,A3_P2_TEMPORAL_Q10,ABLATION_ONLY_NOT_FOR_MODEL_SELECTION
